1.jpg;Inherte;Vehiculo;Aereo;Blanco;Metal;Seguro;Transporte;;
2.jpg;Inherte;Vehiculo;Aereo;Azul;Metal;Seguro;Transporte;;
3.jpg;Vivo;Animal;Mamifero;Cuadrupedo;Campo;Blanco;Negro;Leche;
4.jpg;Vivo;Animal;Mamifero;Cuadrupedo;Campo;Blanco;Lana;;
5.jpg;Vivo;Animal;Mamifero;Cuadrupedo;Canino;Domestico;Beige;;
6.JPG;Vivo;Animal;Mamifero;Cuadrupedo;Canino;Domestico;Negro;;
7.JPG;Vivo;Animal;Mamifero;Cuadrupedo;Felino;Domestico;Gris;;
8.JPG;Vivo;Animal;Mamifero;Cuadrupedo;Felino;Salvaje;Naranja;;
9.JPG;Vivo;Animal;Ave;Nidicola;Exotico;Rojo;;;
10.JPG;Vivo;Animal;Ave;Nidicola;Exotico;Azul;;;
11.JPG;Vivo;Animal;Ave;Nidicola;Domestico;Amarillo;;;
12.JPG;Inherte;Comida;Fruta;Ovalada;Roja;Dulce;;;
13.JPG;Inherte;Comida;Fruta;Ovalada;Verde;Acida;;;
14.JPG;Inherte;Comida;Fruta;Redonda;Verde;Dulce;;;
15.JPG;Inherte;Comida;Fruta;Cilindrica;Marron;Dulce;Agrio;Exotica;
16.JPG;Inherte;Comida;Rapida;Carne;Pan;Salsa;;;
17.JPG;Inherte;Comida;Rapida;Salchicha;Pan;Salsa;;;
18.JPG;Inherte;Comida;Rapida;Carne;Masa;Queso;Italiana;;
19.JPG;Inherte;Vehiculo;Terrestre;Ruedas;Cuatro;Rojo;Motor;;
20.JPG;Inherte;Vehiculo;Terrestre;Ruedas;Cuatro;Azul;Motor;;
21.JPG;Inherte;Vehiculo;Terrestre;Ruedas;Dos;Negro;Motor;;
22.JPG;Inherte;Vehiculo;Terrestre;Ruedas;Dos;Negro;Blanco;;
23.JPG;Vivo;Persona;Profesion;Ley;Azul;Porra;;;
24.JPG;Vivo;Persona;Profesion;Fuego;Rojo;Manguera;;;
25.JPG;Vivo;Persona;Profesion;Musica;Microfono;;;;
26.JPG;Vivo;Persona;Profesion;Musica;Danza;;;;
27.JPG;Inherte;Objeto;Patas;Cuatro;Metal;Amarillo;Hogar;Mueble;
28.JPG;Inherte;Objeto;Patas;Cuatro;Madera;Marron;Hogar;Mueble;
29.JPG;Inherte;Objeto;Patas;Dos;Madera;Marron;Hogar;Mueble;Asiento
30.JPG;Lugar;Natural;Vegetal;Verde;Hierva;Plantas;Llano;;
31.JPG;Lugar;Natural;Vegetal;Verde;Arbol;Plantas;;;
32.JPG;Lugar;Natural;Tierra;Agua;Salada;Sol;;;
33.JPG;Lugar;Natural;Tierra;Agua;Dulce;;;;
34.JPG;Lugar;Natural;Tierra;Roca;Altura;;;;
35.JPG;Lugar;Natural;Tierra;Roca;Profundidad;;;;
36.JPG;Lugar;Natural;Tierra;Agua;Dulce;Altura;;;
37.JPG;Vivo;Vegetal;Planta;Amarillo;Pipas;;;;
38.JPG;Vivo;Vegetal;Planta;Rojo;Espinas;;;;
